Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2020,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
§ 163                                   ,   42,   4,   10,   ,   1,   2,   ,   ,   ,   ,   1,   ,   ,   5,   2,   ,   ,   ,   ,   1,   ,   ,
§ 164                                   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 165                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 168                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 169                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 170a                                  ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 170b                                  ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   7,   ,   ,   ,   ,   ,   2,   ,   ,
§ 171                                   ,   764,   544,   71,   ,   102,   29,   27,   ,   ,   ,   26,   2,   ,   610,   27,   26,   ,   ,   ,   25,   2,   ,
§ 172/1A                                ,   48,   31,   65,   ,   2,   1,   4,   ,   ,   ,   1,   ,   ,   63,   1,   6,   ,   ,   ,   ,   ,   ,
§ 172/1B                                ,   60,   29,   48,   ,   9,   1,   2,   ,   ,   ,   2,   ,   ,   65,   1,   3,   ,   ,   ,   2,   ,   ,
§ 172/1C                                ,   510,   366,   72,   ,   82,   4,   13,   ,   ,   ,   15,   1,   2,   482,   4,   13,   ,   ,   ,   15,   1,   2,
§ 172/1D                                ,   106,   88,   83,   ,   22,   4,   7,   ,   ,   ,   4,   ,   1,   106,   4,   7,   ,   ,   ,   4,   ,   1,
§ 173                                   ,   5,   3,   60,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 174                                   ,   20,   10,   50,   ,   1,   ,   ,   ,   ,   ,   3,   ,   ,   10,   ,   ,   ,   ,   ,   3,   ,   ,
§ 175                                   ,   6,   3,   50,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,
§ 176                                   ,   4,   1,   25,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 177                                   ,   7,   1,   14,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 178                                   ,   41,   28,   68,   ,   1,   8,   ,   ,   ,   ,   1,   ,   ,   7,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
II. HLAVA Tr. zákona                    ,  3 247,  1 964,   60,  1 877,   183,   308,   8,   132,   1,   ,   493,   26,   ,  2 420,   337,   7,   192,   1,   ,   543,   34,   ,
§ 179/1                                 ,   13,   6,   46,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   15,   ,   ,   ,   ,   ,   ,   ,   ,
§ 179/2                                 ,   9,   2,   22,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 183                                   ,   48,   37,   77,   20,   7,   8,   ,   ,   ,   ,   2,   ,   ,   48,   6,   ,   ,   ,   ,   2,   ,   ,
§ 186                                   ,   4,   2,   50,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   3,   2,   ,   ,   ,   ,   ,   ,   ,
§ 187                                   ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,   325,   244,   75,   166,   16,   46,   2,   18,   ,   ,   71,   6,   ,   345,   55,   2,   27,   ,   ,   87,   9,   ,
§ 189                                   ,   416,   224,   54,   715,   23,   30,   1,   10,   ,   ,   24,   ,   ,   243,   28,   1,   13,   ,   ,   25,   ,   ,
§ 190/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 192                                   ,   5,   1,   20,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 194                                   ,  1 788,  1 009,   56,   974,   84,   187,   4,   68,   1,   ,   195,   15,   ,  1 291,   212,   3,   110,   1,   ,   224,   19,   ,
§ 194A                                  ,   7,   2,   29,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/1                                 ,   8,   4,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 197/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 199                                   ,   92,   56,   61,   ,   8,   13,   ,   1,   ,   ,   6,   1,   ,   52,   12,   ,   2,   ,   ,   5,   1,   ,
§ 200                                   ,   59,   42,   71,   ,   7,   10,   ,   4,   ,   ,   11,   ,   ,   41,   8,   ,   5,   ,   ,   9,   ,   ,
§ 201                                   ,   446,   326,   73,   ,   29,   12,   1,   31,   ,   ,   184,   4,   ,   356,   13,   1,   35,   ,   ,   191,   5,   ,
§ 201a                                  ,   13,   7,   54,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 201b                                  ,   7,   2,   29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 202                                   ,   2,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 203                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  5 453,  4 718,   87,   ,   374,   112,   1,   4,   1,   ,   10,   1,   ,  5 413,   107,   1,   4,   1,   ,   10,   1,   ,
§ 205                                   ,   6,   4,   67,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,   6,   1,   ,   ,   ,   ,   ,   ,   ,
§ 206                                   ,   9,   4,   44,   ,   ,   1,   ,   1,   1,   ,   ,   ,   ,   4,   1,   ,   1,   1,   ,   ,   ,   ,
§ 207/1                                 ,  4 074,  3 648,   90,   ,   269,   14,   ,   1,   ,   ,   5,   ,   ,  3 916,   14,   ,   1,   ,   ,   6,   ,   ,
§ 207/2                                 ,   132,   128,   97,   ,   22,   ,   ,   ,   ,   ,   ,   ,   ,   145,   ,   ,   ,   ,   ,   ,   ,   ,
§ 208                                   ,   477,   241,   51,   ,   35,   92,   ,   ,   ,   ,   3,   1,   ,   270,   87,   ,   ,   ,   ,   3,   1,   ,
§ 209                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 210                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 211/1                                 ,   752,   692,   92,   ,   46,   4,   1,   2,   ,   ,   2,   ,   ,  1 071,   4,   1,   2,   ,   ,   1,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  22 117,  9 426,   43,  177 186,  1 115,   813,   20,   338,   ,   ,   997,   45,   ,  10 538,   778,   14,   425,   ,   ,  1 006,   44,   ,
§ 212 celkom                            ,  14 003,  6 492,   46,  28 353,   387,   536,   11,   272,   ,   ,   717,   20,   ,  6 871,   510,   8,   332,   ,   ,   714,   22,   ,
     - § 212/1                          ,   477,   101,   21,  7 071,   53,   1,   ,   3,   ,   ,   6,   ,   ,   183,   3,   ,   3,   ,   ,   8,   ,   ,
     - § 212/2a                         ,   104,   16,   15,   611,   12,   ,   ,   ,   ,   ,   3,   ,   ,   34,   ,   ,   ,   ,   ,   4,   ,   ,
     - § 212/2b                         ,   6,   3,   50,   9,   ,   ,   ,   1,   ,   ,   2,   ,   ,   6,   ,   ,   1,   ,   ,   3,   ,   ,
     - § 212/2c                         ,   8,   2,   25,   2,   5,   ,   ,   ,   ,   ,   1,   ,   ,   10,   ,   ,   ,   ,   ,   1,   ,   ,
     - § 212/2d                         ,   9,   5,   56,   1,   3,   ,   ,   ,   ,   ,   1,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
     - § 212/2e                         ,   15,   11,   73,   16,   6,   ,   ,   ,   ,   ,   2,   ,   ,   18,   ,   ,   ,   ,   ,   2,   ,   ,
     - § 212/2f                         ,   17,   15,   88,   3,   7,   ,   ,   ,   ,   ,   1,   ,   ,   22,   ,   ,   ,   ,   ,   1,   ,   ,
     - § 212/1a                         ,  6 404,  1 700,   27,  12 413,   179,   75,   5,   42,   ,   ,   185,   6,   ,  1 920,   76,   3,   54,   ,   ,   191,   8,   ,
     - § 212/1b                         ,  2 201,   662,   30,  7 110,   54,   58,   ,   56,   ,   ,   165,   6,   ,   863,   55,   ,   88,   ,   ,   177,   5,   ,
     - § 212/1c                         ,   29,   23,   79,   3,   1,   3,   ,   ,   ,   ,   2,   ,   ,   19,   3,   ,   ,   ,   ,   2,   ,   ,
     - § 212/1d                         ,   744,   243,   33,   226,   43,   35,   ,   10,   ,   ,   45,   1,   ,   268,   30,   ,   13,   ,   ,   48,   1,   ,
     - § 212/1e                         ,   783,   628,   80,   277,   4,   5,   ,   159,   ,   ,   104,   ,   ,   767,   6,   ,   173,   ,   ,   114,   ,   ,
     - § 212/1f                         ,   247,   198,   80,   456,   9,   1,   ,   ,   ,   ,   2,   ,   ,   213,   1,   ,   ,   ,   ,   2,   ,   ,
     - § 212/1g                         ,  2 959,  2 885,   97,   148,   11,   358,   6,   1,   ,   ,   198,   7,   ,  2 542,   336,   5,   ,   ,   ,   161,   8,   ,
§ 213                                   ,   383,   236,   62,  9 861,   72,   2,   ,   ,   ,   ,   2,   ,   ,   306,   2,   ,   ,   ,   ,   2,   ,   ,
§ 214                                   ,   181,   92,   51,   405,   22,   ,   ,   ,   ,   ,   ,   ,   ,   118,   ,   ,   ,   ,   ,   ,   ,   ,
§ 215                                   ,   13,   3,   23,   47,   ,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 216                                   ,   411,   382,   93,   556,   14,   68,   3,   5,   ,   ,   132,   13,   ,   379,   55,   3,   5,   ,   ,   135,   10,   ,
§ 217                                   ,   105,   70,   67,   551,   1,   4,   2,   ,   ,   ,   3,   ,   ,   62,   3,   1,   ,   ,   ,   3,   ,   ,
§ 218/1                                 ,   50,   30,   60,   6,   3,   ,   ,   ,   ,   ,   ,   ,   ,   39,   ,   ,   ,   ,   ,   ,   ,   ,
§ 218/2                                 ,   160,   53,   33,   292,   ,   2,   ,   ,   ,   ,   1,   ,   ,   56,   1,   ,   ,   ,   ,   1,   ,   ,
§ 219/1                                 ,  1 314,   431,   33,  1 403,   123,   20,   ,   8,   ,   ,   47,   2,   ,   533,   25,   ,   9,   ,   ,   45,   2,   ,
§ 219a/1                                ,   10,   1,   10,   24,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 220                                   ,   26,   5,   19,   10,   1,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,  1 675,   567,   34,  58 511,   301,   4,   ,   1,   ,   ,   14,   ,   ,   854,   3,   ,   1,   ,   ,   14,   ,   ,
§ 222                                   ,   146,   73,   50,  3 877,   33,   ,   ,   ,   ,   ,   ,   ,   ,   99,   ,   ,   ,   ,   ,   ,   ,   ,
§ 223                                   ,   20,   9,   45,   131,   5,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/1                                 ,   127,   91,   72,  3 133,   11,   ,   ,   ,   ,   ,   4,   ,   ,   110,   ,   ,   ,   ,   ,   4,   ,   ,
§ 225/2                                 ,   16,   5,   31,   273,   1,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 226                                   ,   5,   1,   20,   2,   2,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 227                                   ,   1,   ,   ,   61,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228/1                                 ,   2,   1,   50,   61,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 230                                   ,   2,   1,   50,  1 416,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 231                                   ,   54,   49,   91,   ,   1,   2,   ,   1,   ,   ,   6,   ,   ,   55,   2,   ,   1,   ,   ,   8,   ,   ,
§ 232                                   ,   8,   2,   25,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   76,   19,   25,  9 277,   12,   ,   ,   ,   ,   ,   ,   ,   ,   38,   ,   ,   ,   ,   ,   ,   ,   ,
§ 234                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 235/1                                 ,   4,   2,   50,   8,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 236                                   ,   236,   84,   36,   245,   6,   2,   1,   3,   ,   ,   4,   ,   ,   97,   2,   1,   3,   ,   ,   5,   ,   ,
§ 237                                   ,   143,   28,   20,  42 665,   17,   ,   ,   ,   ,   ,   ,   ,   ,   49,   ,   ,   ,   ,   ,   ,   ,   ,
§ 238                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/1                                 ,   64,   14,   22,  5 377,   13,   ,   ,   ,   ,   ,   ,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/2                                 ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 240                                   ,   22,   4,   18,   235,   10,   ,   ,   ,   ,   ,   ,   ,   ,   18,   ,   ,   ,   ,   ,   ,   ,   ,
§ 241/1                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 241/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 242                                   ,   25,   9,   36,   805,   7,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243                                   ,   2,   2,   100,   9,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243A                                  ,   10,   3,   30,   4,   3,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 244                                   ,   3,   ,   ,   791,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 245                                   ,  2 420,   585,   24,  8 399,   61,   159,   3,   33,   ,   ,   50,   9,   ,   653,   160,   1,   54,   ,   ,   54,   9,   ,
§ 246                                   ,   316,   72,   23,   257,   4,   14,   ,   14,   ,   ,   16,   1,   ,   90,   15,   ,   18,   ,   ,   21,   1,   ,
§ 247                                   ,   27,   ,   ,   55,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 247a                                  ,   19,   ,   ,   35,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 247b                                  ,   11,   1,   9,   32,   ,   ,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   2,   ,   ,   ,   ,   ,
§ 247c                                  ,   5,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 249                                   ,   15,   5,   33,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 249A                                  ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
V. HLAVA Tr. zákona                     ,  5 308,  2 901,   55,  77 299,   588,   7,   1,   3,   ,   ,   13,   ,   ,  3 290,   5,   1,   3,   ,   ,   12,   ,   ,
§ 251                                   ,   48,   22,   46,   321,   8,   ,   ,   ,   ,   ,   ,   ,   ,   24,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251A                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251b/1                                ,   11,   2,   18,   23,   2,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251b/2                                ,   10,   1,   10,   173,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251b/3                                ,   2,   2,   100,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 253                                   ,   11,   4,   36,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 254/1                                 ,   1,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 259/1                                 ,   38,   11,   29,  1 427,   7,   ,   ,   ,   ,   ,   ,   ,   ,   17,   ,   ,   ,   ,   ,   ,   ,   ,
§ 259/2                                 ,   2,   ,   ,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 261/1                                 ,   45,   14,   31,   666,   14,   ,   ,   ,   ,   ,   ,   ,   ,   44,   ,   ,   ,   ,   ,   ,   ,   ,
§ 264                                   ,   5,   1,   20,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 265/1                                 ,   1,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 266                                   ,   22,   5,   23,   954,   1,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   44,   9,   20,   1,   ,   ,   ,   ,   ,   ,   1,   ,   ,   7,   ,   ,   ,   ,   ,   1,   ,   ,
§ 270/2                                 ,   876,   35,   4,  3 731,   3,   ,   ,   3,   ,   ,   9,   ,   ,   42,   ,   ,   3,   ,   ,   8,   ,   ,
§ 271/1                                 ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   471,   137,   29,  43 591,   79,   1,   ,   ,   ,   ,   ,   ,   ,   275,   1,   ,   ,   ,   ,   ,   ,   ,
§ 277                                   ,  1 738,  1 432,   82,  5 587,   134,   1,   ,   ,   ,   ,   2,   ,   ,  1 813,   1,   ,   ,   ,   ,   2,   ,   ,
§ 277a                                  ,   50,   6,   12,  2 780,   10,   ,   ,   ,   ,   ,   ,   ,   ,   23,   ,   ,   ,   ,   ,   ,   ,   ,
§ 278                                   ,  1 821,  1 176,   65,  16 121,   307,   3,   1,   ,   ,   ,   1,   ,   ,   940,   2,   1,   ,   ,   ,   1,   ,   ,
§ 278a                                  ,   6,   1,   17,   37,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 279                                   ,   44,   31,   70,  1 126,   5,   1,   ,   ,   ,   ,   ,   ,   ,   47,   1,   ,   ,   ,   ,   ,   ,   ,
§ 281/1                                 ,   10,   1,   10,   17,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 281/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 282                                   ,   2,   1,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 283                                   ,   46,   8,   17,   658,   8,   1,   ,   ,   ,   ,   ,   ,   ,   15,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  6 464,  5 253,   81,  27 470,   219,  4 512,   70,   24,   2,   ,   52,   33,   ,  5 473,  4 415,   65,   26,   2,   ,   51,   30,   ,
§ 284                                   ,   32,   14,   44,  1 050,   3,   4,   2,   ,   ,   ,   1,   ,   ,   16,   4,   1,   ,   ,   ,   1,   ,   ,
§ 285                                   ,   116,   33,   28,  5 648,   9,   6,   ,   2,   ,   ,   1,   ,   ,   42,   6,   ,   2,   ,   ,   1,   ,   ,
§ 286                                   ,   90,   25,   28,   155,   4,   2,   ,   ,   ,   ,   5,   1,   ,   30,   4,   ,   ,   ,   ,   8,   3,   ,
§ 288                                   ,   109,   59,   54,   519,   13,   8,   ,   ,   ,   ,   1,   1,   ,   74,   6,   ,   ,   ,   ,   1,   1,   ,
§ 289/1                                 ,  3 866,  3 802,   98,   513,   37,  3 788,   51,   2,   2,   ,   26,   26,   ,  3 779,  3 731,   48,   2,   2,   ,   23,   23,   ,
§ 289/2                                 ,   312,   305,   98,   58,   6,   296,   14,   ,   ,   ,   ,   ,   ,   296,   282,   13,   ,   ,   ,   ,   ,   ,
§ 289/3A                                ,   93,   92,   99,   22,   1,   92,   1,   ,   ,   ,   1,   1,   ,   85,   84,   1,   ,   ,   ,   1,   1,   ,
§ 289/3B                                ,   44,   44,   100,   4,   1,   45,   ,   ,   ,   ,   1,   1,   ,   41,   41,   ,   ,   ,   ,   ,   ,   ,
§ 289/3C                                ,   172,   163,   95,   335,   14,   173,   1,   ,   ,   ,   2,   2,   ,   168,   165,   1,   ,   ,   ,   2,   2,   ,
§ 289/4                                 ,   82,   82,   100,   26,   1,   82,   ,   ,   ,   ,   ,   ,   ,   83,   82,   ,   ,   ,   ,   ,   ,   ,
§ 290a                                  ,   3,   3,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 294/1                                 ,   221,   124,   56,   5,   25,   7,   1,   1,   ,   ,   1,   ,   ,   132,   4,   1,   1,   ,   ,   1,   ,   ,
§ 294/2                                 ,   128,   68,   53,   18,   16,   3,   ,   ,   ,   ,   ,   ,   ,   83,   2,   ,   ,   ,   ,   ,   ,   ,
§ 294/3                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 295/1                                 ,   33,   10,   30,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   15,   ,   ,   ,   ,   ,   ,   ,   ,
