Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2020,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,  4 836,  3 080,   64,  1 927,   794,   518,   67,   16,   ,   1,   152,   18,   3,  4 028,   543,   69,   17,   ,   1,   155,   20,   3,
§ 144                                   ,   12,   3,   25,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 145                                   ,   48,   45,   94,   ,   2,   14,   4,   ,   ,   ,   5,   ,   ,   47,   15,   4,   ,   ,   ,   4,   ,   ,
§ 146                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 147                                   ,   12,   3,   25,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   4,   1,   ,   ,   ,   ,   ,   ,   ,
§ 148                                   ,   9,   5,   56,   ,   2,   2,   ,   ,   ,   ,   1,   ,   ,   8,   2,   ,   ,   ,   ,   1,   ,   ,
§ 149                                   ,   456,   87,   19,   550,   74,   21,   1,   ,   ,   ,   1,   1,   ,   167,   21,   1,   ,   ,   ,   1,   1,   ,
§ 154                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   200,   156,   78,   ,   30,   70,   2,   2,   ,   ,   14,   3,   ,   205,   75,   2,   2,   ,   ,   13,   3,   ,
§ 156                                   ,  1 070,   748,   70,   6,   136,   288,   1,   12,   ,   1,   65,   11,   ,   986,   322,   1,   13,   ,   1,   72,   13,   ,
§ 157                                   ,   696,   468,   67,   459,   202,   38,   6,   1,   ,   ,   7,   ,   ,   665,   32,   6,   1,   ,   ,   7,   ,   ,
§ 158                                   ,   696,   454,   65,   910,   121,   34,   ,   1,   ,   ,   5,   ,   ,   567,   34,   ,   1,   ,   ,   5,   ,   ,
§ 159/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 162                                   ,   3,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
