Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2012,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 284                                   ,   38,   9,   24,  2 502,   2,   4,   ,   1,   ,   ,   2,   ,   ,   12,   5,   ,   2,   ,   ,   2,   ,   ,
§ 285                                   ,   105,   32,   30,  3 934,   14,   6,   ,   2,   ,   ,   ,   ,   ,   51,   6,   ,   5,   ,   ,   ,   ,   ,
§ 286                                   ,   329,   89,   27,   543,   10,   18,   ,   4,   ,   ,   24,   2,   ,   155,   25,   ,   4,   ,   ,   35,   2,   ,
§ 288                                   ,   165,   69,   42,   344,   7,   9,   ,   ,   ,   ,   1,   ,   ,   76,   5,   ,   ,   ,   ,   2,   ,   ,
§ 289/1                                 ,  5 682,  5 602,   99,   770,   36,  5 583,   45,   ,   ,   ,   58,   58,   ,  5 479,  5 434,   43,   ,   ,   ,   54,   54,   ,
§ 289/2                                 ,   502,   492,   98,   8,   4,   429,   51,   ,   ,   ,   ,   ,   ,   466,   402,   50,   ,   ,   ,   ,   ,   ,
§ 289/4                                 ,   17,   16,   94,   ,   ,   16,   ,   ,   ,   ,   ,   ,   ,   16,   16,   ,   ,   ,   ,   ,   ,   ,
§ 294/1                                 ,   268,   148,   55,   17,   27,   8,   ,   1,   ,   ,   2,   ,   ,   149,   5,   ,   ,   ,   ,   1,   ,   ,
§ 294/2                                 ,   151,   78,   52,   3,   12,   5,   ,   ,   ,   ,   3,   ,   ,   78,   3,   ,   ,   ,   ,   2,   ,   ,
§ 295/1                                 ,   46,   11,   24,   5,   5,   ,   ,   ,   ,   ,   1,   ,   ,   13,   ,   ,   ,   ,   ,   1,   ,   ,
§ 296                                   ,   12,   11,   92,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 297                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 298                                   ,   7,   1,   14,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 299A                                  ,   7,   2,   29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300                                   ,   13,   2,   15,   3,   2,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 301                                   ,   5,   ,   ,   26,   2,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 302                                   ,   66,   28,   42,   958,   8,   ,   ,   ,   ,   ,   1,   ,   ,   53,   ,   ,   ,   ,   ,   1,   ,   ,
§ 302A                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 303                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 304                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/1                                 ,   128,   46,   36,  4 461,   15,   ,   ,   1,   ,   ,   4,   ,   ,   71,   ,   ,   1,   ,   ,   4,   ,   ,
§ 305/2                                 ,   43,   40,   93,   1,   3,   1,   ,   ,   ,   ,   1,   ,   ,   40,   1,   ,   ,   ,   ,   1,   ,   ,
§ 306                                   ,   12,   4,   33,  1 090,   ,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 310                                   ,   508,   367,   72,   88,   11,   12,   ,   65,   ,   ,   39,   ,   ,   423,   13,   ,   69,   ,   ,   42,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  4 060,  3 476,   86,  5 684,   136,   616,   10,   2,   ,   ,   97,   3,   ,  3 161,   401,   9,   2,   ,   ,   87,   3,   ,
§ 321                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 323                                   ,   255,   229,   90,   ,   8,   134,   3,   ,   ,   ,   5,   2,   ,   253,   145,   3,   ,   ,   ,   6,   2,   ,
§ 324                                   ,   18,   11,   61,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   8,   6,   ,   ,   ,   ,   ,   ,   ,
§ 326                                   ,   199,   65,   33,  1 262,   24,   ,   ,   ,   ,   ,   ,   ,   ,   74,   ,   ,   ,   ,   ,   ,   ,   ,
§ 327                                   ,   10,   4,   40,   ,   1,   1,   ,   ,   ,   ,   1,   ,   ,   9,   1,   ,   ,   ,   ,   ,   ,   ,
§ 328                                   ,   5,   3,   60,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 329                                   ,   46,   20,   43,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,   41,   ,   ,   ,   ,   ,   ,   ,   ,
§ 332                                   ,   10,   4,   40,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   6,   1,   ,   ,   ,   ,   ,   ,   ,
§ 333                                   ,   71,   54,   76,   ,   4,   3,   ,   ,   ,   ,   ,   ,   ,   67,   3,   ,   ,   ,   ,   ,   ,   ,
§ 336/1                                 ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 339/1                                 ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 340                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 343                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 344                                   ,   88,   33,   38,  4 313,   13,   ,   ,   ,   ,   ,   2,   ,   ,   38,   ,   ,   ,   ,   ,   ,   ,   ,
§ 345                                   ,   145,   110,   76,   1,   15,   ,   ,   ,   ,   ,   23,   ,   ,   125,   ,   ,   ,   ,   ,   24,   ,   ,
§ 346/1                                 ,   121,   113,   93,   13,   5,   ,   ,   2,   ,   ,   13,   ,   ,   115,   ,   ,   2,   ,   ,   12,   ,   ,
§ 346/2                                 ,   15,   15,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 347                                   ,   8,   ,   ,   29,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 348/1                                 ,  2 721,  2 668,   98,   23,   24,   466,   7,   ,   ,   ,   52,   1,   ,  2 238,   245,   6,   ,   ,   ,   44,   1,   ,
§ 348/2                                 ,   3,   3,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 349                                   ,   21,   9,   43,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352/1                                 ,   272,   112,   41,   40,   21,   2,   ,   ,   ,   ,   1,   ,   ,   94,   ,   ,   ,   ,   ,   1,   ,   ,
§ 352/2                                 ,   10,   2,   20,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 353/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/1                                 ,   3,   3,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/2                                 ,   9,   3,   33,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 356                                   ,   17,   8,   47,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   33,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  3 275,  2 473,   76,   178,   146,   955,   3,   80,   ,   ,   177,   24,   1,  2 616,   963,   2,   86,   ,   ,   165,   29,   ,
§ 359                                   ,   29,   27,   93,   ,   2,   17,   ,   ,   ,   ,   ,   ,   ,   25,   17,   ,   ,   ,   ,   ,   ,   ,
§ 360                                   ,  1 582,  1 396,   88,   3,   31,   679,   1,   7,   ,   ,   27,   3,   1,  1 298,   631,   ,   7,   ,   ,   21,   3,   ,
§ 360A                                  ,   121,   80,   66,   ,   1,   3,   ,   ,   ,   ,   1,   ,   ,   69,   2,   ,   ,   ,   ,   3,   ,   ,
§ 361/1                                 ,   56,   30,   54,   ,   1,   9,   ,   2,   ,   ,   3,   ,   ,   30,   10,   ,   1,   ,   ,   3,   ,   ,
§ 363                                   ,   10,   10,   100,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   8,   8,   ,   ,   ,   ,   ,   ,   ,
§ 364                                   ,   988,   782,   79,   21,   67,   232,   2,   51,   ,   ,   128,   20,   ,  1 009,   291,   2,   41,   ,   ,   122,   25,   ,
§ 365                                   ,   53,   21,   40,   21,   1,   2,   ,   10,   ,   ,   4,   ,   ,   40,   2,   ,   25,   ,   ,   6,   ,   ,
§ 366                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 367                                   ,   13,   9,   69,   ,   3,   ,   ,   ,   ,   ,   1,   ,   ,   17,   ,   ,   ,   ,   ,   1,   ,   ,
§ 368                                   ,   15,   12,   80,   ,   2,   ,   ,   1,   ,   ,   1,   ,   ,   6,   ,   ,   1,   ,   ,   1,   ,   ,
§ 369                                   ,   34,   13,   38,   ,   13,   ,   ,   2,   ,   ,   7,   ,   ,   21,   ,   ,   3,   ,   ,   4,   ,   ,
§ 370                                   ,   30,   17,   57,   ,   7,   1,   ,   1,   ,   ,   1,   1,   ,   19,   1,   ,   2,   ,   ,   1,   1,   ,
§ 371                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 372                                   ,   8,   7,   88,   ,   ,   1,   ,   3,   ,   ,   1,   ,   ,   4,   1,   ,   1,   ,   ,   1,   ,   ,
§ 373                                   ,   133,   13,   10,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   13,   ,   ,   1,   ,   ,   ,   ,   ,
§ 374                                   ,   23,   6,   26,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 375                                   ,   146,   38,   26,   129,   16,   1,   ,   ,   ,   ,   ,   ,   ,   40,   ,   ,   ,   ,   ,   ,   ,   ,
§ 376                                   ,   7,   2,   29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 377                                   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 378                                   ,   18,   8,   44,   ,   ,   ,   ,   2,   ,   ,   3,   ,   ,   10,   ,   ,   4,   ,   ,   2,   ,   ,
§ 378A                                  ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XI. HLAVA Tr. zákona                    ,   19,   6,   32,   ,   1,   ,   1,   ,   ,   ,   ,   ,   ,   7,   ,   1,   ,   ,   ,   ,   ,   ,
§ 393                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 396                                   ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 398                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 401                                   ,   4,   2,   50,   ,   1,   ,   1,   ,   ,   ,   ,   ,   ,   3,   ,   1,   ,   ,   ,   ,   ,   ,
§ 402                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 407                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 408/1                                 ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 411/1                                 ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XII. HLAVA Tr. zákona                   ,   107,   44,   41,   ,   18,   8,   ,   2,   1,   ,   11,   ,   ,   49,   8,   ,   2,   1,   ,   10,   ,   ,
§ 419                                   ,   3,   3,   100,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 420                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 421                                   ,   6,   1,   17,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   2,   ,   ,   ,   ,   ,   2,   ,   ,
§ 422/1                                 ,   56,   27,   48,   ,   4,   6,   ,   1,   ,   ,   6,   ,   ,   29,   6,   ,   1,   ,   ,   6,   ,   ,
§ 422A                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422B                                  ,   12,   3,   25,   ,   4,   ,   ,   ,   ,   ,   2,   ,   ,   6,   ,   ,   ,   ,   ,   2,   ,   ,
§ 422C                                  ,   7,   4,   57,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422D                                  ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1A                                ,   5,   2,   40,   ,   ,   1,   ,   ,   ,   ,   1,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 423/1B                                ,   1,   1,   100,   ,   1,   1,   ,   1,   1,   ,   ,   ,   ,   2,   1,   ,   1,   1,   ,   ,   ,   ,
§ 424/1                                 ,   6,   2,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 424A/1A                               ,   7,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 433                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
Tr.zákon è.140/1961 Zb.                 ,   162,   76,   47,  80 044,   106,   3,   ,   ,   ,   ,   3,   ,   ,   166,   2,   ,   ,   ,   ,   3,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
CELKOVÁ  KRIMINALITA                    ,  90 351,  47 883,   53,  701 421,  5 231,  10 155,   226,   845,   4,   ,  3 669,   230,   10,  54 469,  9 785,   220,   952,   4,   ,  3 716,   244,   7,
,,,,,,,,,,,,,,,,,,,,,,,
