Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.05.2024,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
§ 179/2                                 ,   3,   ,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 183                                   ,   23,   14,   61,   1,   4,   5,   ,   ,   ,   ,   1,   ,   ,   14,   5,   ,   ,   ,   ,   1,   ,   ,
§ 186                                   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 187                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,   132,   75,   57,   77,   11,   10,   ,   1,   ,   ,   25,   ,   ,   106,   9,   ,   1,   ,   ,   24,   ,   ,
§ 189                                   ,   171,   64,   37,   605,   11,   6,   ,   2,   ,   ,   9,   ,   ,   91,   6,   ,   4,   ,   ,   9,   ,   ,
§ 191                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 194                                   ,   690,   283,   41,   548,   70,   34,   3,   10,   ,   ,   48,   1,   ,   417,   33,   3,   15,   ,   ,   53,   1,   ,
§ 194A                                  ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/1                                 ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 199                                   ,   64,   17,   27,   ,   7,   3,   ,   ,   ,   ,   4,   1,   ,   26,   5,   ,   ,   ,   ,   5,   2,   ,
§ 200                                   ,   40,   21,   53,   ,   10,   3,   ,   1,   ,   ,   6,   ,   ,   21,   2,   ,   1,   ,   ,   5,   ,   ,
§ 201                                   ,   172,   98,   57,   ,   35,   1,   ,   17,   ,   ,   70,   ,   ,   135,   1,   ,   21,   ,   ,   71,   ,   ,
§ 201a                                  ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 201b                                  ,   2,   1,   50,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   1,   ,   ,
§ 202                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 203                                   ,   4,   1,   25,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  2 250,  1 701,   76,   ,   326,   14,   2,   1,   ,   ,   7,   ,   ,  2 177,   14,   2,   1,   ,   ,   7,   ,   ,
§ 205                                   ,   5,   2,   40,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 206                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 207/1                                 ,  1 587,  1 254,   79,   ,   245,   ,   1,   ,   ,   ,   5,   ,   ,  1 497,   ,   1,   ,   ,   ,   5,   ,   ,
§ 207/2                                 ,   44,   42,   95,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,   60,   ,   ,   ,   ,   ,   ,   ,   ,
§ 208                                   ,   181,   64,   35,   ,   22,   14,   1,   1,   ,   ,   2,   ,   ,   88,   14,   1,   1,   ,   ,   2,   ,   ,
§ 209                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 211/1                                 ,   428,   336,   79,   ,   39,   ,   ,   ,   ,   ,   ,   ,   ,   526,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  9 358,  3 707,   40,  65 512,   874,   151,   7,   82,   ,   ,   382,   3,   2,  4 737,   143,   6,   109,   ,   ,   389,   2,   2,
§ 212 celkom                            ,  5 770,  2 774,   48,  11 649,   386,   107,   2,   62,   ,   ,   285,   2,   ,  3 274,   103,   2,   73,   ,   ,   288,   2,   ,
     - § 212/1                          ,   79,   9,   11,  1 361,   12,   ,   ,   1,   ,   ,   3,   ,   ,   28,   ,   ,   1,   ,   ,   3,   ,   ,
     - § 212/2a                         ,   40,   5,   13,   212,   6,   ,   ,   ,   ,   ,   1,   ,   ,   11,   ,   ,   ,   ,   ,   1,   ,   ,
     - § 212/2b                         ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
     - § 212/2e                         ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
     - § 212/1a                         ,  2 760,   677,   25,  6 576,   236,   13,   1,   10,   ,   ,   71,   ,   ,  1 059,   14,   1,   10,   ,   ,   90,   ,   ,
     - § 212/1b                         ,   621,   168,   27,  2 487,   61,   8,   ,   5,   ,   ,   37,   ,   ,   271,   6,   ,   9,   ,   ,   44,   ,   ,
     - § 212/1c                         ,   11,   8,   73,   1,   2,   1,   ,   ,   ,   ,   1,   ,   ,   8,   1,   ,   ,   ,   ,   1,   ,   ,
     - § 212/1d                         ,   264,   72,   27,   109,   19,   2,   ,   1,   ,   ,   18,   ,   ,   91,   2,   ,   1,   ,   ,   19,   ,   ,
     - § 212/1e                         ,   244,   192,   79,   119,   6,   ,   ,   45,   ,   ,   42,   ,   ,   255,   ,   ,   52,   ,   ,   45,   ,   ,
     - § 212/1f                         ,   65,   32,   49,   682,   5,   ,   ,   ,   ,   ,   1,   ,   ,   41,   ,   ,   ,   ,   ,   1,   ,   ,
     - § 212/1g                         ,  1 683,  1 608,   96,   100,   39,   83,   1,   ,   ,   ,   111,   2,   ,  1 507,   80,   1,   ,   ,   ,   84,   2,   ,
§ 213                                   ,   162,   68,   42,  4 797,   37,   1,   ,   ,   ,   ,   1,   ,   ,   107,   1,   ,   ,   ,   ,   1,   ,   ,
§ 214                                   ,   48,   16,   33,   156,   8,   ,   ,   ,   ,   ,   ,   ,   ,   24,   ,   ,   ,   ,   ,   ,   ,   ,
§ 215                                   ,   2,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 216                                   ,   157,   135,   86,   385,   14,   11,   2,   ,   ,   ,   46,   1,   1,   141,   7,   2,   ,   ,   ,   44,   ,   1,
§ 217                                   ,   43,   20,   47,   359,   8,   1,   ,   ,   ,   ,   1,   ,   ,   27,   1,   ,   ,   ,   ,   1,   ,   ,
§ 218/1                                 ,   18,   5,   28,   2,   1,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 218/2                                 ,   8,   3,   38,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   3,   ,   ,   1,   ,   ,   ,   ,   ,
§ 219/1                                 ,   474,   122,   26,   824,   60,   1,   ,   2,   ,   ,   11,   ,   ,   190,   ,   ,   4,   ,   ,   12,   ,   ,
§ 219/2                                 ,   216,   47,   22,   637,   29,   3,   ,   ,   ,   ,   6,   ,   ,   75,   5,   ,   ,   ,   ,   4,   ,   ,
§ 220                                   ,   12,   2,   17,   79,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,   804,   148,   18,  16 006,   206,   ,   ,   1,   ,   ,   3,   ,   ,   342,   ,   ,   ,   ,   ,   3,   ,   ,
§ 222                                   ,   46,   6,   13,   865,   19,   ,   ,   ,   ,   ,   1,   ,   ,   26,   ,   ,   ,   ,   ,   1,   ,   ,
§ 223                                   ,   18,   10,   56,   153,   1,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/1                                 ,   50,   30,   60,   760,   4,   ,   ,   ,   ,   ,   ,   ,   ,   36,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/2                                 ,   5,   2,   40,   47,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 226                                   ,   3,   ,   ,   52,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 227                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228/1                                 ,   1,   ,   ,   729,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 231                                   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 232                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   44,   6,   14,  7 423,   4,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 235/1                                 ,   6,   1,   17,   21,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 236                                   ,   135,   33,   24,   288,   12,   1,   1,   1,   ,   ,   4,   ,   1,   51,   1,   1,   1,   ,   ,   4,   ,   1,
§ 237                                   ,   38,   2,   5,  6 440,   12,   ,   ,   ,   ,   ,   ,   ,   ,   15,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/1                                 ,   27,   3,   11,  9 129,   1,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 240                                   ,   4,   1,   25,   30,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 242                                   ,   9,   4,   44,   133,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243                                   ,   4,   ,   ,   133,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243A                                  ,   7,   2,   29,   113,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 244                                   ,   1,   ,   ,   34,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 245                                   ,  1 111,   245,   22,  4 069,   57,   25,   2,   8,   ,   ,   20,   ,   ,   310,   23,   1,   12,   ,   ,   23,   ,   ,
§ 246                                   ,   101,   18,   18,   72,   7,   1,   ,   7,   ,   ,   4,   ,   ,   48,   2,   ,   18,   ,   ,   8,   ,   ,
§ 247                                   ,   12,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 247a                                  ,   4,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 247b                                  ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 248A                                  ,   2,   ,   ,   35,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 249                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
V. HLAVA Tr. zákona                     ,  2 761,  1 239,   45,  70 717,   456,   ,   ,   1,   ,   ,   1,   ,   ,  1 738,   ,   ,   1,   ,   ,   1,   ,   ,
§ 251                                   ,   16,   5,   31,   286,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251b/1                                ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251b/2                                ,   2,   ,   ,   7,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 253                                   ,   3,   1,   33,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 259/1                                 ,   18,   5,   28,   489,   3,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 259/2                                 ,   2,   2,   100,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 261/1                                 ,   16,   3,   19,  2 229,   13,   ,   ,   ,   ,   ,   ,   ,   ,   22,   ,   ,   ,   ,   ,   ,   ,   ,
§ 262                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 266                                   ,   10,   2,   20,  14 195,   1,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 269/1A                                ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   40,   8,   20,   68,   2,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/2                                 ,   534,   3,   1,   14,   2,   ,   ,   ,   ,   ,   1,   ,   ,   5,   ,   ,   ,   ,   ,   1,   ,   ,
§ 271/1                                 ,   1,   1,   100,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,
§ 271/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 273                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   190,   78,   41,  36 813,   46,   ,   ,   ,   ,   ,   ,   ,   ,   177,   ,   ,   ,   ,   ,   ,   ,   ,
§ 277                                   ,   756,   550,   73,  3 818,   122,   ,   ,   ,   ,   ,   ,   ,   ,   844,   ,   ,   ,   ,   ,   ,   ,   ,
§ 277a                                  ,   7,   ,   ,   237,   2,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 278                                   ,  1 117,   563,   50,  11 890,   254,   ,   ,   ,   ,   ,   ,   ,   ,   615,   ,   ,   ,   ,   ,   ,   ,   ,
§ 278a                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 279                                   ,   22,   15,   68,   274,   3,   ,   ,   ,   ,   ,   ,   ,   ,   18,   ,   ,   ,   ,   ,   ,   ,   ,
§ 281/1                                 ,   6,   1,   17,   98,   2,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 281/2                                 ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 283                                   ,   11,   2,   18,   291,   3,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  2 634,  1 903,   72,  13 817,   215,  1 691,   125,   3,   ,   ,   21,   10,   ,  2 091,  1 658,   116,   3,   ,   ,   22,   10,   ,
§ 284                                   ,   13,   7,   54,   961,   1,   2,   ,   1,   ,   ,   1,   ,   ,   8,   2,   ,   1,   ,   ,   1,   ,   ,
§ 285                                   ,   51,   2,   4,  3 255,   8,   2,   ,   1,   ,   ,   ,   ,   ,   10,   2,   ,   1,   ,   ,   ,   ,   ,
§ 286                                   ,   79,   6,   8,   213,   3,   ,   ,   1,   ,   ,   3,   ,   ,   12,   ,   ,   1,   ,   ,   3,   ,   ,
§ 288                                   ,   39,   14,   36,   135,   8,   1,   ,   ,   ,   ,   ,   ,   ,   20,   1,   ,   ,   ,   ,   ,   ,   ,
§ 289/1                                 ,  1 580,  1 481,   94,   158,   55,  1 419,   116,   ,   ,   ,   9,   9,   ,  1 507,  1 398,   108,   ,   ,   ,   9,   9,   ,
§ 289/2                                 ,   104,   102,   98,   ,   1,   100,   3,   ,   ,   ,   ,   ,   ,   100,   97,   3,   ,   ,   ,   ,   ,   ,
§ 289/3A                                ,   32,   32,   100,   3,   4,   34,   2,   ,   ,   ,   ,   ,   ,   30,   29,   1,   ,   ,   ,   ,   ,   ,
§ 289/3B                                ,   27,   27,   100,   ,   1,   26,   2,   ,   ,   ,   ,   ,   ,   27,   25,   2,   ,   ,   ,   ,   ,   ,
§ 289/3C                                ,   78,   73,   94,   177,   11,   77,   1,   ,   ,   ,   2,   1,   ,   82,   75,   1,   ,   ,   ,   2,   1,   ,
§ 289/4                                 ,   28,   27,   96,   4,   1,   27,   1,   ,   ,   ,   ,   ,   ,   28,   27,   1,   ,   ,   ,   ,   ,   ,
§ 294/1                                 ,   108,   40,   37,   ,   32,   1,   ,   ,   ,   ,   ,   ,   ,   58,   ,   ,   ,   ,   ,   ,   ,   ,
§ 294/2                                 ,   65,   19,   29,   ,   28,   2,   ,   ,   ,   ,   2,   ,   ,   47,   2,   ,   ,   ,   ,   2,   ,   ,
§ 295/1                                 ,   9,   3,   33,   ,   3,   ,   ,   ,   ,   ,   1,   ,   ,   6,   ,   ,   ,   ,   ,   1,   ,   ,
§ 296                                   ,   2,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 298                                   ,   8,   1,   13,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 299A                                  ,   2,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300/1                                 ,   11,   1,   9,   6,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 301/1                                 ,   2,   ,   ,   135,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 302                                   ,   133,   14,   11,  1 127,   28,   ,   ,   ,   ,   ,   ,   ,   ,   58,   ,   ,   ,   ,   ,   ,   ,   ,
§ 303                                   ,   2,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/1                                 ,   15,   ,   ,   213,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/2                                 ,   12,   4,   33,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/3                                 ,   4,   ,   ,   20,   3,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305A                                  ,   56,   8,   14,   20,   3,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305B                                  ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305C                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 306                                   ,   82,   4,   5,  1 257,   9,   ,   ,   ,   ,   ,   ,   ,   ,   18,   ,   ,   ,   ,   ,   ,   ,   ,
§ 308                                   ,   1,   ,   ,  6 000,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 310                                   ,   75,   34,   45,   97,   4,   ,   ,   ,   ,   ,   3,   ,   ,   43,   ,   ,   ,   ,   ,   4,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  1 133,   952,   84,  1 643,   77,   118,   3,   1,   ,   ,   19,   1,   ,   952,   51,   2,   1,   ,   ,   14,   1,   ,
§ 321                                   ,   6,   2,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 323                                   ,   55,   50,   91,   ,   7,   9,   2,   ,   ,   ,   2,   ,   ,   51,   8,   1,   ,   ,   ,   1,   ,   ,
