Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.05.2024,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,  2 153,   826,   38,   481,   587,   101,   30,   9,   ,   ,   58,   4,   1,  1 476,   104,   27,   8,   ,   ,   66,   4,   1,
§ 144                                   ,   5,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 145                                   ,   17,   10,   59,   ,   3,   5,   1,   ,   ,   ,   1,   ,   ,   13,   5,   1,   ,   ,   ,   1,   ,   ,
§ 146                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 147                                   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 148                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 149                                   ,   354,   16,   5,   151,   45,   4,   1,   ,   ,   ,   1,   ,   ,   67,   4,   1,   ,   ,   ,   1,   ,   ,
§ 154                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   76,   53,   70,   ,   23,   21,   ,   ,   ,   ,   9,   3,   ,   93,   22,   ,   ,   ,   ,   15,   3,   ,
§ 156                                   ,   457,   215,   47,   1,   102,   51,   ,   6,   ,   ,   31,   1,   ,   363,   54,   ,   6,   ,   ,   33,   1,   ,
§ 157                                   ,   278,   127,   46,   106,   138,   6,   ,   1,   ,   ,   2,   ,   ,   263,   6,   ,   1,   ,   ,   2,   ,   ,
§ 158                                   ,   319,   140,   44,   221,   83,   7,   ,   ,   ,   ,   ,   ,   ,   222,   7,   ,   ,   ,   ,   ,   ,   ,
§ 163                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 165                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 167                                   ,   6,   6,   100,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,
§ 169                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 170                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 170a                                  ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 171                                   ,   341,   124,   36,   ,   91,   4,   17,   1,   ,   ,   7,   ,   ,   201,   4,   14,   1,   ,   ,   7,   ,   ,
§ 172/1C                                ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 172/1D                                ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 173                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 174                                   ,   13,   5,   38,   ,   4,   ,   1,   ,   ,   ,   2,   ,   1,   8,   ,   1,   ,   ,   ,   2,   ,   1,
§ 175                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 176                                   ,   7,   2,   29,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 177                                   ,   2,   2,   100,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 178                                   ,   8,   6,   75,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
II. HLAVA Tr. zákona                    ,  1 321,   580,   44,  1 233,   151,   63,   3,   31,   ,   ,   165,   2,   ,   819,   61,   3,   42,   ,   ,   169,   3,   ,
§ 179/1                                 ,   4,   1,   25,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
