Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 278                                   ,   221,   90,   41,  294 255,   51,   ,   ,   ,   ,   ,   ,   ,   ,   146,   ,   ,   ,   ,   ,   ,   ,   ,
§ 279                                   ,   376,   295,   78,  145 687,   11,   1,   ,   ,   ,   ,   2,   ,   ,   332,   1,   ,   ,   ,   ,   2,   ,   ,
§ 281/1                                 ,   91,   58,   64,  3 032,   18,   ,   ,   ,   ,   ,   3,   ,   ,   81,   ,   ,   ,   ,   ,   2,   ,   ,
§ 281/2                                 ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 282                                   ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 283                                   ,   106,   37,   35,   877,   25,   1,   ,   2,   ,   ,   6,   ,   ,   66,   1,   ,   2,   ,   ,   6,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  3 119,  2 159,   69,  879 517,   118,  1 255,   1,   53,   1,   ,   81,   8,   ,  2 008,   943,   ,   60,   1,   ,   89,   6,   ,
§ 284                                   ,   65,   13,   20,  478 679,   1,   4,   ,   ,   ,   ,   ,   ,   ,   20,   4,   ,   ,   ,   ,   ,   ,   ,
§ 285                                   ,   121,   39,   32,  234 360,   12,   4,   ,   3,   ,   ,   ,   ,   ,   56,   5,   ,   5,   ,   ,   ,   ,   ,
§ 286                                   ,   220,   41,   19,  5 913,   4,   8,   ,   1,   1,   ,   13,   2,   ,   66,   10,   ,   1,   1,   ,   18,   2,   ,
§ 288                                   ,   253,   112,   44,  15 984,   22,   11,   ,   ,   ,   ,   7,   1,   ,   135,   11,   ,   ,   ,   ,   5,   1,   ,
§ 289/1                                 ,  1 193,  1 170,   98,  44 931,   27,  1 183,   ,   ,   ,   ,   5,   5,   ,   884,   872,   ,   ,   ,   ,   3,   3,   ,
§ 289/2                                 ,   15,   15,   100,   90,   ,   15,   ,   ,   ,   ,   ,   ,   ,   15,   15,   ,   ,   ,   ,   ,   ,   ,
§ 294/1                                 ,   293,   183,   62,   582,   24,   16,   1,   1,   ,   ,   3,   ,   ,   174,   15,   ,   1,   ,   ,   2,   ,   ,
§ 294/2                                 ,   153,   92,   60,   505,   7,   3,   ,   ,   ,   ,   4,   ,   ,   84,   1,   ,   ,   ,   ,   4,   ,   ,
§ 295/1                                 ,   49,   27,   55,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,   25,   ,   ,   ,   ,   ,   ,   ,   ,
§ 296                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 298                                   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300                                   ,   11,   ,   ,   220,   2,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 301                                   ,   8,   1,   13,   717,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 302                                   ,   38,   11,   29,  1 282,   2,   ,   ,   ,   ,   ,   ,   ,   ,   16,   ,   ,   ,   ,   ,   ,   ,   ,
§ 304                                   ,   1,   ,   ,  1 822,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/1                                 ,   86,   39,   45,  87 112,   5,   ,   ,   1,   ,   ,   2,   ,   ,   54,   ,   ,   1,   ,   ,   2,   ,   ,
§ 305/2                                 ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 306                                   ,   11,   1,   9,  3 382,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 307                                   ,   2,   ,   ,   269,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 310                                   ,   592,   414,   70,  3 664,   8,   10,   ,   47,   ,   ,   47,   ,   ,   473,   10,   ,   52,   ,   ,   55,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  5 515,  4 888,   89,  31 949,   123,   920,   6,   9,   ,   ,   175,   16,   1,  4 538,   795,   4,   9,   ,   ,   149,   15,   1,
§ 323                                   ,   370,   337,   91,   312,   9,   173,   1,   ,   ,   ,   15,   5,   1,   367,   189,   1,   ,   ,   ,   16,   5,   1,
§ 324                                   ,   40,   35,   88,   1,   4,   19,   ,   ,   ,   ,   1,   ,   ,   27,   14,   ,   ,   ,   ,   ,   ,   ,
§ 326                                   ,   184,   34,   18,  16 851,   20,   1,   ,   ,   ,   ,   ,   ,   ,   70,   1,   ,   ,   ,   ,   ,   ,   ,
§ 327                                   ,   6,   1,   17,  1 270,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 328                                   ,   7,   3,   43,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 329                                   ,   59,   25,   42,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,   43,   ,   ,   ,   ,   ,   ,   ,   ,
§ 332                                   ,   8,   5,   63,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 333                                   ,   167,   134,   80,   1,   6,   31,   ,   ,   ,   ,   1,   ,   ,   152,   31,   ,   ,   ,   ,   1,   ,   ,
§ 336/1                                 ,   7,   3,   43,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336/2                                 ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 339/1                                 ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 340                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 341                                   ,   4,   4,   100,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   9,   ,   ,   ,   ,   ,   1,   ,   ,
§ 342                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 343                                   ,   3,   3,   100,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 344                                   ,   78,   41,   53,   825,   8,   1,   ,   ,   ,   ,   4,   ,   ,   36,   ,   ,   ,   ,   ,   2,   ,   ,
§ 345                                   ,   121,   99,   82,   3,   7,   2,   ,   ,   ,   ,   14,   ,   ,   110,   2,   ,   ,   ,   ,   14,   ,   ,
§ 346/1                                 ,   113,   100,   88,   ,   4,   3,   ,   6,   ,   ,   14,   1,   ,   112,   3,   ,   6,   ,   ,   14,   1,   ,
§ 346/2                                 ,   4,   4,   100,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   4,   ,   ,   ,   ,   ,   1,   ,   ,
§ 347                                   ,   5,   1,   20,   880,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 348/1                                 ,  3 868,  3 808,   98,  9 938,   20,   681,   3,   3,   ,   ,   121,   10,   ,  3 306,   548,   1,   3,   ,   ,   97,   9,   ,
§ 348/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 349                                   ,   53,   30,   57,   ,   6,   7,   ,   ,   ,   ,   ,   ,   ,   33,   4,   ,   ,   ,   ,   ,   ,   ,
§ 352/1                                 ,   368,   192,   52,  1 865,   16,   1,   2,   ,   ,   ,   2,   ,   ,   163,   1,   2,   ,   ,   ,   2,   ,   ,
§ 352/2                                 ,   5,   3,   60,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 353/1                                 ,   2,   1,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/1                                 ,   12,   7,   58,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/2                                 ,   21,   14,   67,   ,   4,   1,   ,   ,   ,   ,   1,   ,   ,   64,   2,   ,   ,   ,   ,   1,   ,   ,
§ 356                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  4 592,  3 519,   77,  59 850,   211,  1 584,   9,   93,   ,   ,   316,   34,   1,  3 743,  1 592,   7,   132,   ,   ,   300,   35,   1,
§ 359                                   ,   46,   41,   89,   7,   ,   22,   ,   ,   ,   ,   1,   ,   ,   41,   21,   ,   ,   ,   ,   1,   ,   ,
§ 360                                   ,  2 313,  2 009,   87,   308,   87,  1 071,   7,   15,   ,   ,   50,   8,   ,  1 880,   982,   6,   13,   ,   ,   34,   6,   ,
§ 361/1                                 ,   81,   38,   47,   ,   1,   7,   ,   4,   ,   ,   7,   ,   ,   38,   6,   ,   5,   ,   ,   8,   ,   ,
§ 363                                   ,   4,   4,   100,   ,   1,   4,   ,   ,   ,   ,   ,   ,   ,   4,   3,   ,   ,   ,   ,   ,   ,   ,
§ 364                                   ,  1 564,  1 215,   78,  1 072,   84,   471,   2,   55,   ,   ,   219,   25,   1,  1 564,   568,   1,   76,   ,   ,   221,   26,   1,
§ 365                                   ,   65,   22,   34,  1 021,   2,   3,   ,   7,   ,   ,   15,   1,   ,   45,   6,   ,   20,   ,   ,   16,   3,   ,
§ 366                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 367                                   ,   24,   15,   63,   ,   2,   1,   ,   ,   ,   ,   7,   ,   ,   20,   1,   ,   ,   ,   ,   4,   ,   ,
§ 368                                   ,   11,   8,   73,   ,   1,   1,   ,   1,   ,   ,   2,   ,   ,   9,   1,   ,   ,   ,   ,   3,   ,   ,
§ 369                                   ,   36,   10,   28,   ,   2,   1,   ,   1,   ,   ,   4,   ,   ,   9,   1,   ,   ,   ,   ,   3,   ,   ,
§ 370                                   ,   8,   3,   38,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   1,   ,   ,
§ 371                                   ,   1,   1,   100,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   1,   ,   ,   ,   ,   ,
§ 372                                   ,   4,   2,   50,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   1,   ,   ,   ,   ,   ,
§ 373                                   ,   184,   38,   21,   10,   17,   ,   ,   ,   ,   ,   3,   ,   ,   57,   ,   ,   ,   ,   ,   4,   ,   ,
§ 374                                   ,   41,   7,   17,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 375                                   ,   174,   84,   48,  57 393,   10,   ,   ,   ,   ,   ,   ,   ,   ,   29,   ,   ,   ,   ,   ,   ,   ,   ,
§ 376                                   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 377                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 378                                   ,   30,   22,   73,   35,   3,   3,   ,   8,   ,   ,   7,   ,   ,   33,   3,   ,   16,   ,   ,   5,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XI. HLAVA Tr. zákona                    ,   100,   90,   90,  2 585,   4,   25,   ,   ,   ,   ,   ,   ,   ,   92,   25,   ,   ,   ,   ,   ,   ,   ,
§ 393                                   ,   11,   11,   100,   ,   2,   5,   ,   ,   ,   ,   ,   ,   ,   12,   5,   ,   ,   ,   ,   ,   ,   ,
§ 394                                   ,   8,   7,   88,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   8,   5,   ,   ,   ,   ,   ,   ,   ,
§ 396                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 397                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 401                                   ,   11,   10,   91,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   10,   10,   ,   ,   ,   ,   ,   ,   ,
§ 402                                   ,   49,   45,   92,   ,   2,   2,   ,   ,   ,   ,   ,   ,   ,   45,   2,   ,   ,   ,   ,   ,   ,   ,
§ 407                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 408/1                                 ,   9,   9,   100,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   9,   2,   ,   ,   ,   ,   ,   ,   ,
§ 411/1                                 ,   7,   5,   71,  2 585,   ,   1,   ,   ,   ,   ,   ,   ,   ,   5,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XII. HLAVA Tr. zákona                   ,   211,   131,   62,   221,   8,   53,   ,   4,   1,   ,   51,   9,   ,   215,   67,   ,   7,   1,   ,   59,   12,   ,
§ 421                                   ,   22,   10,   45,   ,   2,   1,   ,   ,   ,   ,   8,   1,   ,   16,   5,   ,   ,   ,   ,   8,   2,   ,
§ 422/1                                 ,   155,   103,   66,   201,   6,   42,   ,   4,   1,   ,   39,   7,   ,   176,   48,   ,   7,   1,   ,   45,   8,   ,
§ 422/2                                 ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 423/1A                                ,   19,   10,   53,   5,   ,   5,   ,   ,   ,   ,   3,   1,   ,   16,   9,   ,   ,   ,   ,   6,   2,   ,
§ 424/1                                 ,   14,   7,   50,   14,   ,   4,   ,   ,   ,   ,   1,   ,   ,   6,   4,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
Tr.zákon è.140/1961 Zb.                 ,  1 609,   790,   49, 2 234 450,  1 070,   11,   1,   3,   ,   ,   32,   ,   ,  1 931,   12,   1,   3,   ,   ,   23,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
CELKOVÁ  KRIMINALITA                    ,  104 759,  45 696,   44, 13 683 129,  6 586,  6 620,   94,  1 225,   6,   ,  5 269,   301,   6,  52 574,  6 176,   79,  1 641,   8,   ,  5 112,   289,   6,
,,,,,,,,,,,,,,,,,,,,,,,
