Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 184                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 185                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 186                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 187                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,  1 369,   710,   52,  85 004,   57,   122,   6,   47,   ,   ,   246,   18,   ,   954,   162,   5,   53,   ,   ,   286,   23,   ,
§ 189                                   ,   868,   574,   66,  19 903,   56,   84,   6,   50,   1,   ,   109,   ,   ,   618,   83,   3,   57,   2,   ,   104,   ,   ,
§ 190/1                                 ,   10,   4,   40,  1 275,   2,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 191                                   ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 192                                   ,   15,   6,   40,   22,   ,   ,   ,   ,   ,   ,   1,   ,   ,   7,   ,   ,   ,   ,   ,   1,   ,   ,
§ 194                                   ,  1 558,  1 065,   68,  7 062,   64,   207,   3,   112,   1,   ,   225,   7,   1,  1 224,   197,   2,   150,   ,   ,   233,   10,   1,
§ 195/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/1                                 ,   17,   3,   18,   22,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/2                                 ,   8,   6,   75,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 199                                   ,   146,   95,   65,   18,   13,   30,   1,   ,   ,   ,   8,   2,   ,   91,   23,   1,   ,   ,   ,   8,   2,   ,
§ 200                                   ,   100,   69,   69,   3,   7,   22,   ,   7,   ,   ,   14,   2,   ,   66,   20,   ,   11,   ,   ,   12,   3,   ,
§ 201                                   ,   363,   282,   78,   ,   18,   10,   ,   10,   ,   ,   126,   4,   ,   298,   9,   ,   15,   ,   ,   125,   4,   ,
§ 202                                   ,   12,   10,   83,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 203                                   ,   2,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
