Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2002   ( Tr.zákon è.140/1961 Zb. ) ,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 155                                   ,   340,   323,   95,   85,   5,   130,   2,   ,   ,   ,   8,   3,   ,   310,   115,   1,   ,   ,   ,   8,   2,   ,
§ 156/1                                 ,   86,   83,   97,   ,   2,   39,   ,   ,   ,   ,   3,   1,   ,   67,   29,   ,   ,   ,   ,   2,   1,   ,
§ 158                                   ,   253,   117,   46,  104 527,   3,   ,   ,   ,   ,   ,   ,   ,   ,   124,   ,   ,   ,   ,   ,   ,   ,   ,
§ 159                                   ,   25,   15,   60,  54 321,   ,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 160                                   ,   29,   22,   76,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   17,   ,   ,   ,   ,   ,   ,   ,   ,
§ 160a                                  ,   30,   22,   73,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 161a                                  ,   11,   11,   100,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   9,   3,   ,   ,   ,   ,   ,   ,   ,
§ 161/1                                 ,   63,   59,   94,   ,   1,   6,   ,   ,   ,   ,   ,   ,   ,   63,   4,   ,   ,   ,   ,   ,   ,   ,
§ 162/1                                 ,   5,   3,   60,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 162/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 164                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 165                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 166                                   ,   11,   9,   82,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 167                                   ,   9,   9,   100,   ,   ,   2,   ,   ,   ,   ,   2,   ,   ,   11,   1,   ,   ,   ,   ,   5,   ,   ,
§ 168                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 169a                                  ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 169b                                  ,   7,   4,   57,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 171                                   ,  2 019,  1 948,   96,  5 822,   7,   414,   1,   5,   ,   ,   58,   4,   ,  1 589,   309,   1,   5,   ,   ,   39,   2,   ,
§ 171a                                  ,   140,   125,   89,   ,   1,   1,   ,   ,   ,   ,   5,   ,   ,   213,   1,   ,   ,   ,   ,   4,   ,   ,
§ 171c                                  ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 173                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 174                                   ,   139,   120,   86,   5,   ,   1,   ,   ,   ,   ,   22,   ,   ,   123,   1,   ,   ,   ,   ,   23,   ,   ,
§ 175                                   ,   138,   127,   92,   ,   ,   3,   ,   ,   ,   ,   11,   ,   ,   124,   3,   ,   ,   ,   ,   10,   ,   ,
§ 176                                   ,   363,   269,   74,  1 339,   5,   8,   ,   ,   ,   ,   5,   ,   ,   235,   7,   ,   ,   ,   ,   2,   ,   ,
§ 177                                   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 178                                   ,   7,   1,   14,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  3 260,  2 500,   77,  211 154,   53,   87,   40,   156,   3,   ,   380,   6,   5,  2 503,   63,   42,   156,   3,   ,   363,   5,   4,
§ 179                                   ,   31,   10,   32,  25 231,   1,   1,   ,   1,   ,   ,   5,   ,   ,   9,   1,   ,   1,   ,   ,   2,   ,   ,
§ 180                                   ,   143,   74,   52,  90 318,   4,   16,   ,   12,   ,   ,   3,   ,   ,   91,   15,   ,   15,   ,   ,   3,   ,   ,
§ 181                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 181a                                  ,   8,   4,   50,  1 001,   ,   ,   ,   ,   ,   ,   1,   ,   ,   5,   ,   ,   ,   ,   ,   2,   ,   ,
§ 181b                                  ,   15,   4,   27,  10 482,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 181c                                  ,   105,   62,   59,  73 513,   2,   ,   ,   ,   ,   ,   4,   ,   ,   78,   ,   ,   ,   ,   ,   4,   ,   ,
§ 181d                                  ,   900,   784,   87,  2 183,   4,   11,   ,   130,   3,   ,   209,   2,   ,   840,   10,   ,   124,   3,   ,   201,   2,   ,
§ 181e                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 182                                   ,   152,   72,   47,  2 965,   3,   2,   ,   9,   ,   ,   22,   1,   ,   88,   2,   ,   11,   ,   ,   28,   1,   ,
§ 184                                   ,   216,   152,   70,  3 790,   3,   7,   ,   1,   ,   ,   8,   ,   ,   154,   6,   ,   2,   ,   ,   5,   ,   ,
§ 185                                   ,   534,   427,   80,  1 667,   7,   47,   ,   3,   ,   ,   20,   2,   ,   296,   26,   ,   3,   ,   ,   15,   1,   ,
§ 185a                                  ,   4,   1,   25,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   11,   ,   ,   ,   ,   ,   ,   ,   ,
§ 186                                   ,   439,   273,   62,   ,   10,   1,   19,   ,   ,   ,   33,   ,   3,   260,   1,   22,   ,   ,   ,   29,   ,   3,
§ 187                                   ,   665,   602,   91,   ,   18,   2,   21,   ,   ,   ,   71,   1,   2,   636,   2,   20,   ,   ,   ,   71,   1,   1,
§ 187a                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,   9,   9,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188a                                  ,   9,   8,   89,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   6,   ,   ,   ,   ,   ,   3,   ,   ,
§ 189                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 190                                   ,   7,   3,   43,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 191                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
