Nápad vecí na prokurátora za mesiac,,,,,,,,,,,,,Nápad vecí na prokurátora za rok,,,,,,,,,
OP,Dolný Kubín,15.41,15.83,17,17.44,14.87,21.33,15.27,14.37,20.81,15.8,,184.92,189.96,204,209.28,178.44,255.96,183.24,172.44,249.72,189.6
OP,Liptovský Mikuláš,17.4,16.28,16.76,15.35,20.26,18.8,19.61,19.96,19.92,19.15,,208.8,195.36,201.12,184.2,243.12,225.6,235.32,239.52,239.04,229.8
OP,Martin,16.63,16.64,16.51,17.8,17.61,22.6,22.9,21.96,25.47,29.96,,199.56,199.68,198.12,213.6,211.32,271.2,274.8,263.52,305.64,359.52
OP,Námestovo,19.32,23.48,23.54,20.18,19.72,21.5,16.05,21.04,24.88,21.36,,231.84,281.76,282.48,242.16,236.64,258,192.6,252.48,298.56,256.32
OP,Ružomberok,16.24,17.99,17.73,18.14,15.13,18.92,20.42,19.77,24.05,24.18,,194.88,215.88,212.76,217.68,181.56,227.04,245.04,237.24,288.6,290.16
OP,Žilina,19.04,22.25,26.07,23.69,24.42,25.61,24.44,24.35,24.5,24.9,,228.48,267,312.84,284.28,293.04,307.32,293.28,292.2,294,298.8
KP,Banská Bystrica,8.95,9.96,8.66,9.38,9.03,9.73,9.15,10.25,8.9,9.98,,107.4,119.52,103.92,112.56,108.36,116.76,109.8,123,106.8,119.76
OP,Banská Bystrica,16.55,18.67,20.02,16.15,16.15,17.84,19.16,17.62,27.28,23.45,,198.6,224.04,240.24,193.8,193.8,214.08,229.92,211.44,327.36,281.4
OP,Brezno,15.34,17.06,17.79,14.73,14.86,17.26,27.64,20.47,19.87,17.73,,184.08,204.72,213.48,176.76,178.32,207.12,331.68,245.64,238.44,212.76
OP,Lučenec,16.45,14.89,15.74,14.85,15.52,17.41,17.74,18.9,22.87,21.18,,197.4,178.68,188.88,178.2,186.24,208.92,212.88,226.8,274.44,254.16
OP,Revúca,17.24,17.98,18.7,14.57,16.47,17,17.82,18.65,24.43,32.58,,206.88,215.76,224.4,174.84,197.64,204,213.84,223.8,293.16,390.96
OP,Rimavská Sobota,14.41,15.5,15.88,15.23,17.57,17.8,18.79,18.64,22,22.62,,172.92,186,190.56,182.76,210.84,213.6,225.48,223.68,264,271.44
OP,Veľký Krtíš,17.79,24.21,16.12,16.32,13.85,19.75,21.43,19.32,19.85,14.93,,213.48,290.52,193.44,195.84,166.2,237,257.16,231.84,238.2,179.16
OP,Zvolen,15.82,14.83,15.93,14.34,15.26,16.43,20.53,16.62,23.08,19.41,,189.84,177.96,191.16,172.08,183.12,197.16,246.36,199.44,276.96,232.92
OP,Žiar nad Hronom,16.87,16.23,17.68,16.67,18.08,19.14,30.98,21.38,22.74,26.38,,202.44,194.76,212.16,200.04,216.96,229.68,371.76,256.56,272.88,316.56
KP,Prešov,10.42,9.09,8.99,10.36,9.3,9.34,9.63,10.53,15.84,13.93,,125.04,109.08,107.88,124.32,111.6,112.08,115.56,126.36,190.08,167.16
OP,Bardejov,18.08,22.38,20.72,21.32,17.02,20.31,21.04,20.27,22.93,18.69,,216.96,268.56,248.64,255.84,204.24,243.72,252.48,243.24,275.16,224.28
OP,Humenné,18.85,17.91,20.22,17.66,18.13,21.39,23.03,24.46,21.15,26.87,,226.2,214.92,242.64,211.92,217.56,256.68,276.36,293.52,253.8,322.44
OP,Kežmarok,18.57,20.39,20.05,18.65,15.6,20.67,19.67,18.1,17.22,20.4,,222.84,244.68,240.6,223.8,187.2,248.04,236.04,217.2,206.64,244.8
OP,Poprad,18.79,18.81,17.66,15.57,16.2,20.52,21.64,21.67,21.68,23.93,,225.48,225.72,211.92,186.84,194.4,246.24,259.68,260.04,260.16,287.16
