,,,KP Bratislava,Bratislava I,Bratislava II,Bratislava III,Bratislava IV,Bratislava V,Malacky,Pezinok,KP Trnava,Dunajská Streda,Galanta,Senica,Skalica,Trnava,KP Trenčín,Bánovce nad Bebravou,Nové Mesto nad Váhom,Partizánske,Považská Bystrica,Prievidza,Trenčín,KP Nitra,Komárno,Levice,Nitra,Nové Zámky,Topoľčany,KP Žilina,Čadca,Dolný Kubín,Liptovský Mikuláš,Martin,Námestovo,Ružomberok,Žilina,KP Banská Bystrica,Banská Bystrica,Brezno,Lučenec,Revúca,Rimavská Sobota,Veľký Krtíš,Zvolen,Žiar nad Hronom,KP Prešov,Bardejov,Humenné,Kežmarok,Poprad,Prešov,Stará Ľubovňa,Svidník,Vranov nad Topľou,KP Košice,Košice I,Košice II,Košice - okolie,Michalovce,Rožňava,Spišská Nová Ves,Trebišov
B.2008,,2008,90,866,1876,1159,1232,1622,0,0,34,1148,719,809,0,1913,29,0,0,0,377,847,750,49,613,448,1281,579,552,9,516,443,546,0,731,359,1467,24,794,265,526,0,406,228,949,273,17,145,311,322,501,760,157,145,306,24,1006,1183,297,398,180,366,300
B.2009,,2009,148,1171,1852,1133,935,2129,724,967,55,1458,1009,442,355,1334,64,182,407,241,574,1189,976,75,752,690,1663,831,387,22,570,288,509,822,299,428,1590,42,1021,342,765,328,600,292,1271,406,46,204,334,309,785,877,144,192,374,39,935,1286,416,584,342,636,545
B.2010,,2010,125,1057,1962,1270,1217,2401,819,1092,51,1319,1125,433,279,1232,35,259,528,289,602,1418,1091,61,757,866,1671,936,500,21,547,291,729,891,328,511,1735,46,1282,436,932,364,566,347,1455,496,34,273,498,359,880,1131,198,162,446,19,1205,1422,594,776,370,941,1307
B.2011,,2011,278,1029,1862,1153,839,2920,829,1619,49,1005,839,242,180,1056,61,227,564,248,576,1153,1025,101,652,748,1710,822,349,24,376,204,497,723,361,294,1172,48,897,306,563,273,502,248,1111,400,31,262,394,267,608,885,160,195,345,51,933,1111,379,514,242,563,983
B.2012,,2012,240,1030,1947,1111,739,2530,644,1533,79,1156,843,252,223,1009,61,230,592,275,767,1199,1015,114,653,744,1612,931,323,29,281,205,472,753,344,260,1163,62,973,327,705,230,564,277,1110,468,40,280,478,255,683,915,160,219,409,45,1042,1288,504,516,244,557,1044
B.2013,,2013,205,1073,2030,1035,673,1923,558,1494,79,1204,738,271,193,954,36,166,528,268,717,1008,869,76,593,691,1611,857,298,22,297,153,464,662,276,277,1087,73,834,300,564,184,397,277,981,397,42,250,461,223,638,829,151,142,271,35,948,1194,479,532,262,575,380
B.2014,,2014,235,1037,1985,1621,507,1644,516,515,77,1114,794,316,201,1292,36,177,448,275,656,838,700,93,605,777,1471,992,338,20,305,151,370,561,224,270,975,86,797,312,586,193,388,262,901,487,47,252,415,226,747,981,130,178,309,37,858,1114,411,403,206,546,355
B.2015,,2015,213,1025,1953,1502,470,1520,504,394,76,812,766,286,194,1133,74,132,396,151,488,858,594,102,517,747,1408,878,292,27,311,159,317,488,207,236,1020,64,713,241,441,172,329,229,773,318,49,216,351,227,697,878,117,138,266,47,821,1111,355,376,188,464,296
B.2016,,2016,148,1011,1719,1326,404,1322,436,323,56,718,624,264,181,1021,53,142,438,190,393,777,475,92,484,596,1335,677,304,44,283,127,316,469,179,212,1011,60,605,207,332,163,335,207,587,321,67,160,324,207,568,764,112,104,263,41,715,950,341,354,163,426,298
B.2017,,2017,196,1211,1658,1393,413,1179,397,337,94,887,749,339,207,1303,95,186,503,252,434,858,667,77,596,705,1646,774,325,69,317,157,385,558,234,288,1263,75,670,230,390,175,377,262,666,329,60,260,410,235,588,933,140,157,340,57,933,1122,370,560,274,662,384
B.2018,,2018,140,1105,1230,1312,426,715,412,356,117,936,745,357,226,1220,81,151,451,190,446,848,607,81,556,607,1544,732,260,79,282,157,376,542,241,256,1129,68,609,205,360,165,355,228,585,291,66,253,384,234,652,877,136,144,400,68,844,1099,355,542,247,665,376
B.2019,,2019,152,1211,1117,1250,378,692,337,379,133,859,699,329,248,1063,78,157,394,233,405,713,572,101,601,582,1407,587,273,56,305,134,385,555,243,249,926,63,629,201,431,177,340,211,595,293,54,295,395,198,606,825,158,151,397,64,969,1109,443,631,251,635,447
