Podané obžaloby za mesiac,,,,,,,,,,,,,Podané obžaloby za rok,,,,,,,,,
OP,Dolný Kubín,2.35,2.68,2.33,1.73,2.22,2.52,1.98,2.4,2.18,1.73,,28.2,32.16,27.96,20.76,26.64,30.24,23.76,28.8,26.16,20.76
OP,Liptovský Mikuláš,3.28,3.63,2.58,2.22,2.91,3.31,3.16,3.82,2.42,2.27,,39.36,43.56,30.96,26.64,34.92,39.72,37.92,45.84,29.04,27.24
OP,Martin,3.18,2.99,2.6,2.99,3.1,4.68,5.51,5.54,4.73,6.4,,38.16,35.88,31.2,35.88,37.2,56.16,66.12,66.48,56.76,76.8
OP,Námestovo,4.53,4.74,2.72,2.13,2.68,3.28,2.81,4.07,3.05,1.97,,54.36,56.88,32.64,25.56,32.16,39.36,33.72,48.84,36.6,23.64
OP,Ružomberok,2.73,3.67,1.9,1.94,1.83,2.06,2.64,2.26,2.66,2.95,,32.76,44.04,22.8,23.28,21.96,24.72,31.68,27.12,31.92,35.4
OP,Žilina,3.92,5.35,3.49,2.92,2.75,2.75,3.21,3.16,2.64,3.11,,47.04,64.2,41.88,35.04,33,33,38.52,37.92,31.68,37.32
KP,Banská Bystrica,0.1,0.1,0.31,0.25,0.24,0.32,0.25,0.25,0.27,0.36,,1.2,1.2,3.72,3,2.88,3.84,3,3,3.24,4.32
OP,Banská Bystrica,2.28,2.25,2.5,2.06,1.92,2.02,2.13,2.5,3.23,3,,27.36,27,30,24.72,23.04,24.24,25.56,30,38.76,36
OP,Brezno,3.79,4.77,4.22,3.39,3.71,3.77,5.75,4.08,44,89,,45.48,57.24,50.64,40.68,44.52,45.24,69,48.96,528,1068
OP,Lučenec,4.59,3.84,3.78,3.8,4.18,4.58,4.14,3.98,3.86,3.92,,55.08,46.08,45.36,45.6,50.16,54.96,49.68,47.76,46.32,47.04
OP,Revúca,5.14,5.72,6.77,4.43,5.4,5.39,5.6,6.51,7.98,9.85,,61.68,68.64,81.24,53.16,64.8,64.68,67.2,78.12,95.76,118.2
OP,Rimavská Sobota,4.4,5.2,4.75,4.74,5.18,5.63,5.75,6.36,5.75,6.1,,52.8,62.4,57,56.88,62.16,67.56,69,76.32,69,73.2
OP,Veľký Krtíš,4.59,6.48,3.12,2.92,3.01,3.27,3.78,3.48,3.15,2.52,,55.08,77.76,37.44,35.04,36.12,39.24,45.36,41.76,37.8,30.24
OP,Zvolen,4.25,3.93,4.03,3.51,4.09,3.74,4.8,4.01,4.71,4.52,,51,47.16,48.36,42.12,49.08,44.88,57.6,48.12,56.52,54.24
OP,Žiar nad Hronom,3.82,4.3,4.17,3.19,3.81,3.88,4.77,3.1,3.65,4.28,,45.84,51.6,50.04,38.28,45.72,46.56,57.24,37.2,43.8,51.36
KP,Prešov,0.14,0.06,0.22,0.28,0.25,0.28,0.23,0.13,0.11,0.28,,1.68,0.72,2.64,3.36,3,3.36,2.76,1.56,1.32,3.36
OP,Bardejov,4.59,5.25,5.11,4.67,4.61,4.85,4.45,4.64,4.45,3.69,,55.08,63,61.32,56.04,55.32,58.2,53.4,55.68,53.4,44.28
OP,Humenné,4.47,5.06,4.78,4.85,5.24,5.83,4.75,4.62,3.57,4.8,,53.64,60.72,57.36,58.2,62.88,69.96,57,55.44,42.84,57.6
OP,Kežmarok,4.71,6.17,4.83,5.13,4.4,5.1,5.26,4.57,3.4,3.91,,56.52,74.04,57.96,61.56,52.8,61.2,63.12,54.84,40.8,46.92
OP,Poprad,3.13,3.53,2.76,2.32,2.9,3.28,3.51,3.58,3.11,3.44,,37.56,42.36,33.12,27.84,34.8,39.36,42.12,42.96,37.32,41.28
OP,Prešov,3.83,3.72,3.62,3.25,3.46,3.24,3.13,3.62,3.66,4.46,,45.96,44.64,43.44,39,41.52,38.88,37.56,43.44,43.92,53.52
OP,Stará Ľubovňa,4.67,5.33,2.68,2.83,3.46,3.79,5.38,4.48,2.23,3.25,,56.04,63.96,32.16,33.96,41.52,45.48,64.56,53.76,26.76,39
OP,Svidník,3.62,4.29,4.93,5.58,5.33,6.13,5.9,4.75,3.18,4.29,,43.44,51.48,59.16,66.96,63.96,73.56,70.8,57,38.16,51.48
OP,Vranov nad Topľou,4.5,5.26,3.74,4.19,4.89,5.21,4.13,3.72,4.15,5.05,,54,63.12,44.88,50.28,58.68,62.52,49.56,44.64,49.8,60.6
KP,Košice,0.1,0.07,0.27,0.23,0.22,0.22,0.22,0.14,0.25,0.18,,1.2,0.84,3.24,2.76,2.64,2.64,2.64,1.68,3,2.16
OP,Košice I,2.2,2.96,3.3,3.97,3.25,3.21,2.73,3.05,3.41,3.63,,26.4,35.52,39.6,47.64,39,38.52,32.76,36.6,40.92,43.56
OP,Košice II,3.08,3.39,3.5,4.12,4.78,3.98,3.68,3.72,3.6,3.35,,36.96,40.68,42,49.44,57.36,47.76,44.16,44.64,43.2,40.2
OP,Košice - okolie,4.12,5.37,5.43,4.88,6.45,6.03,5.85,5.36,5.01,4.64,,49.44,64.44,65.16,58.56,77.4,72.36,70.2,64.32,60.12,55.68
OP,Michalovce,5.44,5.23,4.94,5.2,5.83,5.37,5.15,4.86,4.75,4.5,,65.28,62.76,59.28,62.4,69.96,64.44,61.8,58.32,57,54
OP,Rožňava,3.59,4.21,4.27,4.11,6.68,5.6,6.36,5.96,4.31,4.4,,43.08,50.52,51.24,49.32,80.16,67.2,76.32,71.52,51.72,52.8
OP,Spišská Nová Ves,3.86,4.62,4.32,3.92,4.53,4.89,4.52,5.05,5.79,5.4,,46.32,55.44,51.84,47.04,54.36,58.68,54.24,60.6,69.48,64.8
OP,Trebišov,4.77,4.47,4.06,4.19,4.84,5.52,6.55,5.31,5.53,5.13,,57.24,53.64,48.72,50.28,58.08,66.24,78.6,63.72,66.36,61.56
