Hlava,Nazov Hlavy,Paragraf,Nazov Paragrafu
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 159, marenie úlohy verejného činiteľa z nedbanlivosti
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 160, prijímanie úplatku a inej nenáležitej výhody
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 160a, prijímanie úplatku a inej nenáležitej výhody
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 160b, prijímanie úplatku a inej nenáležitej výhody
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 160c, prijímanie úplatku a inej nenáležitej výhody
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 161, podplácanie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 161a, podplácanie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 161b, podplácanie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 161c, podplácanie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 162, nepriama korupcia
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 164, podnecovanie trestnej činnosti
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 165, schvaľovanie trestného činu
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 166, nadržovanie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 167, neprekazenie trestného činu
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 168, neoznámenie trestného činu
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 169a, zasahovanie do nezávislosti súdu
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 169b, pohŕdanie súdom
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 171, marenie výkonu úradného rozhodnutia
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 171a, nedovolené prekročenie štát. hranice a prevádzačstvo
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 171b, nedovolené prekročenie štát. hranice a prevádzačstvo
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 171c, nedovolené prekročenie štát. hranice a prevádzačstvo
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 172, vzbura väzňov
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 173, ohrozenie dôvernej skutočnosti a vyhradenej skutočnosti
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 174, krivé obvinenie
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 175, krivá výpoveď a nepravdivý znalecký posudok
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 176," falšovanie a pozmeňovanie verejnej listiny, úradnej pečate a úradnej uzávery"
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 177, marenie prípravy a priebehu volieb alebo referenda
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 178, neoprávnené nakladanie s osobnými údajmi
IV. hlava,trestné činy všeobecne nebezpečné,§ 179, všeobecné ohrozenie
IV. hlava,trestné činy všeobecne nebezpečné,§ 180, všeobecné ohrozenie
IV. hlava,trestné činy všeobecne nebezpečné,§ 180a, ohrozenie bezpečnosti vzdušného dopravného prostriedku a civilného plavidla
IV. hlava,trestné činy všeobecne nebezpečné,§ 180b, ohrozenie bezpečnosti vzdušného dopravného prostriedku a civilného plavidla
IV. hlava,trestné činy všeobecne nebezpečné,§ 180c, zavlečenie vzdušného dopravného prostriedku do cudziny
IV. hlava,trestné činy všeobecne nebezpečné,§ 181, porušovanie povinnosti pri hrozivej tiesni
IV. hlava,trestné činy všeobecne nebezpečné,§ 181a, ohrozenie životného prostredia
IV. hlava,trestné činy všeobecne nebezpečné,§ 181b, ohrozenie životného prostredia
IV. hlava,trestné činy všeobecne nebezpečné,§ 181c, porušovanie ochrany rastlín a živočíchov
IV. hlava,trestné činy všeobecne nebezpečné,§ 181d, pytliactvo
IV. hlava,trestné činy všeobecne nebezpečné,§ 181e," nedovolený dovoz, vývoz a preprava odpadov"
IV. hlava,trestné činy všeobecne nebezpečné,§ 182, poškodzovanie a ohrozovanie prevádzky všeobecne prospešného zariedenia
IV. hlava,trestné činy všeobecne nebezpečné,§ 183, poškodzovanie a ohrozovanie prevádzky všeobecne prospešného zariedenia
IV. hlava,trestné činy všeobecne nebezpečné,§ 184, poškodzovanie a ohrozovanie prevádzky všeobecne prospešného zariedenia
IV. hlava,trestné činy všeobecne nebezpečné,§ 184a, nedovolené ozbrojovanie a obchodovanie so zbraňami
IV. hlava,trestné činy všeobecne nebezpečné,§ 184b, nedovolené ozbrojovanie a obchodovanie so zbraňami
IV. hlava,trestné činy všeobecne nebezpečné,§ 185, nedovolené ozbrojovanie
IV. hlava,trestné činy všeobecne nebezpečné,§ 185a," založenie, zosnovanie a podporovanie zločineckej skupiny a teroristickej skupiny"
IV. hlava,trestné činy všeobecne nebezpečné,§ 186," nedovol.výroby a držanie omamných, psychotropných látok, jedov a prekurzorov a obchodovanie s nimi"
IV. hlava,trestné činy všeobecne nebezpečné,§ 187," nedovol.výroby a držanie omamných, psychotropných látok, jedov a prekurzorov a obchodovanie s nimi"
IV. hlava,trestné činy všeobecne nebezpečné,§ 187a, nedovolená výroba a držanie jadrových materiálov a vysokorizikových chemických látok
IV. hlava,trestné činy všeobecne nebezpečné,§ 188, nedovolená výroba a držanie jadrových materiálov a vysokorizikových chemických látok
IV. hlava,trestné činy všeobecne nebezpečné,§ 188a, nedovolená výroba a držanie jadrových materiálov a vysokorizikových chemických látok
IV. hlava,trestné činy všeobecne nebezpečné,§ 189, šírenie nákazlivej choroby
IV. hlava,trestné činy všeobecne nebezpečné,§ 190, šírenie nákazlivej choroby
IV. hlava,trestné činy všeobecne nebezpečné,§ 191, šírenie nákazlivej choroby
IV. hlava,trestné činy všeobecne nebezpečné,§ 192, šírenie nákazlivej choroby
IV. hlava,trestné činy všeobecne nebezpečné,§ 193, ohrozovanie zdravia závadnými potravinami a inými potrebami
IV. hlava,trestné činy všeobecne nebezpečné,§ 194, ohrozovanie zdravia závadnými potravinami a inými potrebami
IV. hlava,trestné činy všeobecne nebezpečné,§ 194a, nedovolená výroby liehu
V. hlava,TRESTNÉ ČINY HRUBO NARUŠUJÚCE OBČieNSKE SPOLUŽITIE,§ 197a, násilie proti skupine obyvateľov a proti jednotlivcovi
V. hlava,TRESTNÉ ČINY HRUBO NARUŠUJÚCE OBČieNSKE SPOLUŽITIE,§ 201a, opilstvo
V. hlava,TRESTNÉ ČINY HRUBO NARUŠUJÚCE OBČieNSKE SPOLUŽITIE,§ 205b, výroba detského pornografického diela
VI. hlava,trestné činy proti rodine a mládeži,§ 216a, obchodovanie s deťmi
VI. hlava,trestné činy proti rodine a mládeži,§ 216b, obchodovanie s deťmi
VI. hlava,trestné činy proti rodine a mládeži,§ 217a, nezákonné zamestnávanie detí
VII. hlava,trestné činy proti životu a zdraviu,§ 219, vražda
VII. hlava,trestné činy proti životu a zdraviu,§ 220, vražda novonarodeného dieťaťa matkou
VII. hlava,trestné činy proti životu a zdraviu,§ 221, ublíženie na zdraví
VII. hlava,trestné činy proti životu a zdraviu,§ 222, ublíženie na zdraví
VII. hlava,trestné činy proti životu a zdraviu,§ 223, ublíženie na zdraví
VII. hlava,trestné činy proti životu a zdraviu,§ 224, ublíženie na zdraví
VII. hlava,trestné činy proti životu a zdraviu,§ 225, ruvačka
VII. hlava,trestné činy proti životu a zdraviu,§ 226, ohrozovanie pohlavnou chorobou alebo vírusom ľudskej imunodeficiencie
VII. hlava,trestné činy proti životu a zdraviu,§ 227, nedovolené prerušenie tehotenstva
VII. hlava,trestné činy proti životu a zdraviu,§ 228, nedovolené prerušenie tehotenstva
VII. hlava,trestné činy proti životu a zdraviu,§ 229, nedovolené prerušenie tehotenstva
VII. hlava,trestné činy proti životu a zdraviu,§ 230, účasť na samovražde
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 231, obmedzovanie osobnej slobody
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 232, pozbavenie osobnej slobody
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 233, zavlečenie do cudziny
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 234, lúpež
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 234a, branie rukojemníka
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 235, vydieranie
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 235a, hrubý nátlak
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 235b, hrubý nátlak
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 236, obmedzovanie slobody vyznania
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 237, útlak
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 238, porušovanie domovej slobody
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 238a, porušovanie slobody združovania a zhromažďovania
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 241, znásilnenie
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 241a, sexuálne násilie
VIII. hlava,trestné činy proti slobode a ľudskej dôstojnosti,§ 246, obchodovanie s ľuďmi
IX. hlava,trestné činy proti majetku,§ 247, krádež
IX. hlava,trestné činy proti majetku,§ 248, sprenevera
IX. hlava,trestné činy proti majetku,§ 248a, nevyplatenie mzdy a odstupného
IX. hlava,trestné činy proti majetku,§ 249, neoprávnené užívanie cudzej veci
IX. hlava,trestné činy proti majetku,§ 249a , neoprávnené používanie cudzieho motorového vozidla
IX. hlava,trestné činy proti majetku,§ 249aa, neoprávnené používanie cudzieho motorového vozidla
IX. hlava,trestné činy proti majetku,§ 249b," neoprávnený zásah do práva k domu, bytu alebo k nebytovému priestoru"
IX. hlava,trestné činy proti majetku,§ 249c, neoprávnené vyrobenie a a používanie elektronického platobného prostriedku a inej platobnej karty
IX. hlava,trestné činy proti majetku,§ 249d, neoprávnené vyrobenie a obstaranie telefónnej karty
IX. hlava,trestné činy proti majetku,§ 250, podvod
IX. hlava,trestné činy proti majetku,§ 250a, úverový podvod
,,§ 250b, subvenčný podvod
,,§ 250c, poisťovací podvod
,,§ 250d, neoprávnené obohatenie
,,§ 250e, podvodný úpadok
,,§ 250f, zavinený úpadok
,,§ 250g, prevádzkovanie nepoctivých hier a stávok
,,§ 250h, nepovolené prevádzkovanie lotérií a iných podobných hier
,,§ 251, podielníctvo
,,§ 251a, podielníctvo
,,§ 252, legalizácia príjmu z trestnej činnosti
,,§ 252a, legalizácia príjmu z trestnej činnosti
,,§ 253, úžera
,,§ 254, zatajenie cudzej veci
,,§ 255, porušovanie povinností pri správe cudzieho majetku
,,§ 256, poškodzovanie veriteľa
,,§ 256a, zvýhodňovanie veriteľa
,,§ 256b, machinácie v súvislosti s konkurzným a vyrovnávacím konaním
,,§ 256c, marenie konkurzného alebo vyrovnacieho konania
,,§ 256d, marenie konkurzného alebo vyrovnacieho konania
,,§ 257, poškodzovanie cudzej veci
,,§ 257a, poškodenie a zneužitie záznamu na nosiči informácií
,,§ 258, zneužívanie vlastníctva
XI. hlava,trestné činy proti brannosti a proti civilnej službe,§ 272a, nenastúpenie civilnej služby
XI. hlava,trestné činy proti brannosti a proti civilnej službe,§ 272c, vyhýbanie sa výkonu civilnej služby
XI. hlava,trestné činy proti brannosti a proti civilnej službe,§ 272d, vyhýbanie sa výkonu civilnej služby
XII. hlava,trestné činy vojenské,§ 280, vyhýbanie sa služobnému úkonu a výkonu vojenskej služby
XII. hlava,trestné činy vojenské,§ 288a, porušovanie služobných povinností
