Hlava,Nazov Hlavy,Paragraf,Nazov Paragrafu
I. Hlava,trestné činy proti republike,§ 93, teror
I. Hlava,trestné činy proti republike,§ 93a, teror
I. Hlava,trestné činy proti republike,§ 95, záškodníctvo
II. Hlava,trestné činy hospodárske,§ 118, neoprávnené podnikanie
II. Hlava,trestné činy hospodárske,§ 118a, neoprávnené obchodovanie s devízovými hodnotami
II. Hlava,trestné činy hospodárske,§ 121, poškodzovanie spotrebiteľa
II. Hlava,trestné činy hospodárske,§ 122," ohrozenie obchodného tajomstva, bankového tajomstva, daňového tajomstva"
II. Hlava,trestné činy hospodárske,§ 124, porušovanie predpisov o obehu tovaru v styku s cudzinou
II. Hlava,trestné činy hospodárske,§ 124a, porušovanie predpisov o nakladaní s kontrolovaným tovarom a technológiami
II. Hlava,trestné činy hospodárske,§ 124b, porušovanie predpisov o nakladaní s kontrolovaným tovarom a technológiami
II. Hlava,trestné činy hospodárske,§ 124c, porušovanie predpisov o nakladaní s kontrolovaným tovarom a technológiami
II. Hlava,trestné činy hospodárske,§ 125, skresľovanie údajov hospodárskej a obchodnej evidencie
II. Hlava,trestné činy hospodárske,§ 126, poškodzovanie finančných záujmov Európskych spoločenstiev
II. Hlava,trestné činy hospodárske,§ 127, porušovanie záväzných pravidiel hospodárskeho styku
II. Hlava,trestné činy hospodárske,§ 128, zneužívanie informácií v obchodnom styku
II. Hlava,trestné činy hospodárske,§ 128a, machinácie pri verejnej súťaži a verejnej dražbe
II. Hlava,trestné činy hospodárske,§ 128b, machinácie pri verejnej súťaži a verejnej dražbe
II. Hlava,trestné činy hospodárske,§ 128c, machinácie pri verejnej súťaži a verejnej dražbe
II. Hlava,trestné činy hospodárske,§ 140, falšovanie a pozmeňovanie peňazí a cenných papierov
II. Hlava,trestné činy hospodárske,§ 141, uvádzanie falšovaných a pozmenených peňazí a cenných papierov
II. Hlava,trestné činy hospodárske,§ 142, výroba a držanie falšovateľského náčinia
II. Hlava,trestné činy hospodárske,§ 144, ohrozovanie obehu tuzemských peňazí
II. Hlava,trestné činy hospodárske,§ 145, falšovanie a pozmeňovanie známok
II. Hlava,trestné činy hospodárske,§ 145a, falšovanie a pozmeňovanie kontrolných technických opatrení na označenie tovaru
II. Hlava,trestné činy hospodárske,§ 146, ohrozenie devízového hospodárstva
II. Hlava,trestné činy hospodárske,§ 147, ohrozenie devízového hospodárstva
II. Hlava,trestné činy hospodárske,§ 148, skrátenie dane a poistného
II. Hlava,trestné činy hospodárske,§ 148a, neodvedenie dane a poistného
II. Hlava,trestné činy hospodárske,§ 148b, nezaplatenie dane
II. Hlava,trestné činy hospodárske,§ 148c, porušovanie predpisov o štátnych technických opatreniach na označenie tovaru
II. Hlava,trestné činy hospodárske,§ 150," porušovanie práv k ochrannej známke, obchodnému menu a chránenému označeniu pôvodu"
II. Hlava,trestné činy hospodárske,§ 151, porušovanie priemyselných práv
II. Hlava,trestné činy hospodárske,§ 152, porušovanie autorského práva
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 153, útok na štátny orgán
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 154, útok na štátny orgán
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 155, útok na verejného činiteľa
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 156, útok na verejného činiteľa
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 157, útok na verejného činiteľa
III. Hlava,trestné činy proti poriedku vo verejných veciech,§ 158, zneužívanie právomoci verejného činiteľa
